channel,power,coeff,degree,r2
rpm,0,2991.673810873212,1,0.9976166427059577
rpm,1,70.39394597082449,1,0.9976166427059577
thrust,0,1.0032217764590943,2,0.9983216669366464
thrust,1,0.06791551788796499,2,0.9983216669366464
thrust,2,0.0006794535770407173,2,0.9983216669366464
torque,0,0.022574263534520855,3,0.9980492081391207
torque,1,0.0004488112180140337,3,0.9980492081391207
torque,2,2.7324446636827394e-05,3,0.9980492081391207
torque,3,-1.2306104546391632e-07,3,0.9980492081391207
